publishedAt,authorDisplayName,comment,likeCount
2023-05-08T04:19:32Z,Ary Kusuma,"Anies di lahirkan dan di taqdirkan untuk pemimpin,<br>Survi palsu klau pak anies ada di no3",0
2023-05-08T04:13:10Z,Matheus Triwanto,"si zarky banyak ngomong, ga ngaruh.",0
2023-05-08T04:06:00Z,Nur Rois,Pokoke saya sekeluarga mileh pak ganjar bro.,0
2023-05-08T04:05:05Z,Nur Rois,Pokoke aku mileh pak g,0
2023-05-08T03:57:28Z,Lada Milada,Hahahaha.mantap Ganjar 👍2024/2029 amin yarabbal alamin,0
2023-05-08T03:56:23Z,adi tia,kawal terus gagalnya world cup U20,0
2023-05-08T03:43:24Z,Hasan Jambi,UMAT  ISLAM   YAKIN   KETETAPAN    DARI    ALLLAH    YANG  MENENTUKAN    SIAPA   YANG  AKAN   JADI   PRESIDEN     KEDEPAN   INI     MUDAH  MUDAH  MUDAHAN   PILIHAN   UMAT   IDLAM   TERPILIH   DI   ADALAH   ANIS BASWEDAN   JADI   PRESIDEN   .,0
2023-05-08T03:40:15Z,Hasan Jambi,KAMI   UMAT   ISLAM   TETAP   MILIH   PAK   ANIS   BASWEDAN   UNTUK   JADI    PRESIDEN   2024   SAMPAI   2035    TIDAKAN    MAU   MILIH   CALON   LAIN   .,0
2023-05-08T03:10:31Z,Bustamam Arifin,Gak jls... Survey bisa di bayar..,0
2023-05-08T02:57:11Z,Sukardi yusuf Yusuf,Abal2,0
2023-05-08T01:45:53Z,Imam Al gazali,GANJAR THE BEST,0
2023-05-08T01:43:01Z,Muhamad Nur,BANYAK SURVEY BAYARAN CUKONG,0
2023-05-08T01:37:04Z,Yoda Yoda,Aku pilih pak Ganjar yang lain nya masih 0 belum pernah mipin,0
2023-05-08T00:04:41Z,Ady Bdg,Konsisten di posisi ke 3,0
2023-05-07T23:39:14Z,Tsr Jakarta,INI SEMUA LEMBAGA SURVEY CUANG<br>SEMUA SDH LEMBAGA SURVEY INI SDH DI BAWAH KETEA OLIGARKI TAIPAN,0
2023-05-07T22:49:51Z,IMAN66  CHANNEL,🎉🎉🎉 Ganjar Pranowo 🥰🇮🇩🇮🇩,0
2023-05-07T22:27:17Z,N Meci,Jadi ingat pilgub dki. Hasil survey anies ditempatkan di urutan buncit tapi akhirnya jadi pemenang😂😂,0
2023-05-07T19:27:00Z,Gorga Boston,"Jadi Teringat Pilgub DKI<br>ANIES Selalu peringkat 3 di survey, tapi Kenyataannya Anies Menang Jadi Gubernur DKI",0
2023-05-07T18:37:33Z,Tube Chanel,sebener nya capres treting tertinggi bapak anis baswedan,0
2023-05-07T18:09:44Z,robinson kribo,Hidup pak Ganjar  idolahku presiden yg merkyat. Calon pengganti bpak jokowi.,0
2023-05-07T18:07:20Z,Muhibbin anak rantau TV,Ambil cawapres gus baha ingsaallah menang takbir Allah akbar,0
2023-05-07T17:22:42Z,BAUREKSO,Surve bayaran,0
2023-05-07T17:12:25Z,moshe dayan,Si anis si muput gabener ko nyusep sih,0
2023-05-07T17:07:30Z,Azrul Azis,Survey indonesia timur untuk anis<br>Sullawesi selatan 87%<br>Sulawesi tenggara 75%<br>Sulawesi tengah 66%<br>Sulawesi barat 80%<br>Sulawesi utara 35%<br>Maluku tengah 45%<br>Maluku utara 70%<br>Maluku tenggara 40%<br>Papua  35%<br>Papua barat 57%,0
2023-05-07T17:01:34Z,Iwa Nugraha,"Kang Emil sebaiknya jangan ikut peta politik capres cawapres tahun 2024, lebih baik tetap jadi gubernur jawa barat, kecuali kalo kang emil yg jd capres nya ga bakal ragu buat milih",0
2023-05-07T16:25:06Z,Alidin Alidin,Surve Abal&quot;,0
2023-05-07T16:22:28Z,Eko Saptono,Andre gerindra...survei  hanyalah survei...apakan 1200 -2000 reponden bisa mewakili 200 jt lebih rakyat yg punyak hak pilih,0
2023-05-07T15:54:16Z,Ehsan echan,Alahai... Survei... Survei....,0
2023-05-07T15:13:00Z,ZEN_i,Yang memainkan isu agama semoga kalah. 😎😎😎😎,0
2023-05-07T15:08:59Z,Ameng puyuh,Ada lembaga yg surveinya anies 63 /persen ..klo pengin surveinya jgn gitu 2 amat..,0
2023-05-07T14:53:46Z,Juwi To,Gas pol Ganjar Pranowo R1 siapapun wakilnya insyaallah terwujud..,0
2023-05-07T14:40:07Z,Rakhmi Aisyah El M,SAAT NYA PAK PROBOWO🤲🏻,2
2023-05-07T14:37:57Z,Manda Hong,"Coba YouTube @METRO TV bikin Polling Capres secara terbuka, sebagai pembanding. Dan silahkan semua pendukung mengerahkan pasukannya untuk ikut mendukung jagoannya masing2.",0
2023-05-07T14:26:25Z,Sugiarto Kelik,"Haiiii, militan banteng siapkan kekuatanmu, panjangkan barisanmu ikat kuat lingkaranmu untuk satu suara ganjar presiden 2024,  asah tanduk kalian pasangkan dgn kuat dan keluar dan bertaburlah merumput dan 2024 bawa hasil kata menang ganjar dan pdi,p ,partai pemenang,",0
2023-05-07T14:23:06Z,Fir daus,Survve. Duit abal abal,0
2023-05-07T14:19:04Z,Sugiarto Kelik,Ganjar ppresiden ahok wakil presiden 2024,0
2023-05-07T13:49:44Z,Ffv Gdh,SIAPA YG DI SURPE TUKANG SURPE INI.TIDAK AKAN ADA RAKYAT INI MAU PILIH PECINTA FILEM FORNO MAU PILIH.SUDAH TERLIBAT KORUPSI GANJAR ITU.TIDAK ADA PRESTASI HANYA DESA WADAS .,0
2023-05-07T13:48:19Z,Ngatijo Tejo,Pak Anis Yg no 1 .,0
2023-05-07T13:30:11Z,john RAI,"biar menurut survey anies no 3 yg penting presiden RI 2024 terpilih tetap anies baswedan..hasil survey hanya ingin membenarkan capres no 1 layak jd presiden , spt contoh berdasar hasil pemilu 2019 yg sejatinya kemenangan di pihak prabowo tapi diakui kemenangan di pihak jokowi di perkuat dgn hasil survey...  tapi kali ini rakyat tdk ingin di bodohi dgn hasil survey",0
2023-05-07T13:25:43Z,Alex Kumara,Ganjar yes Prabowo no,0
2023-05-07T13:05:24Z,Achmad Djadjang,Pd akhirnya ke GP semua berkat bibingan Jokowi dan pertolongan Allah SWT.,0
2023-05-07T12:51:21Z,Indra SyahPutra,Aku mau Ganjar sm gusnur matamu picek,0
2023-05-07T12:43:38Z,Inha Wathun,PRABOWO is The Best PRESIDENT.,0
2023-05-07T12:43:19Z,Ateng Jaelani,"Survei itu siapa yg bayar, sebagai bukti yang akurat waktu Pilkada DKI, Anies paling rendah ternyata buktinya suara paling banyak.",1
2023-05-07T12:38:59Z,Bobo Ho,NKRI ga mungkin di kuasai ASENG...mungkin bohir2 ASENG akan menangis😀😀😀,0
